Revenue,Quantity,Price,Total Cost,Profit,Order Date,Month,Customer Name,Region,Order Time (IST)
414.61,7,59.23,331.688,82.922,17-Mar-23,March,Customer 3882,West,9:11 AM
288.52,4,72.13,175.9972,112.5228,05-Nov-23,November,Customer 3409,East,6:12 PM
322.96,8,40.37,255.1384,67.8216,10-Oct-23,October,Customer 3233,East,5:36 PM
299.11,7,42.73,254.2435,44.8665,19-May-24,May,Customer 3109,West,10:27 AM
1478.49,17,86.97,1108.8675,369.6225,13-Mar-23,March,Customer 1913,Central,12:06 PM
112.24,4,28.06,59.4872,52.7528,28-Aug-24,August,Customer 4715,Central,1:44 PM
460.4,20,23.02,262.428,197.972,19-May-24,May,Customer 1226,West,6:52 PM
892.65,15,59.51,767.679,124.971,12-Oct-24,October,Customer 1459,East,6:31 PM
1564.46,19,82.34,1392.3694,172.0906,28-Jul-23,July,Customer 4631,East,2:01 PM
374.92,14,26.78,314.9328,59.9872,05-Jul-24,July,Customer 1363,West,1:28 PM
315.2,20,15.76,182.816,132.384,12-Nov-23,November,Customer 4440,West,10:58 AM
353.8,10,35.38,286.578,67.222,29-Dec-24,December,Customer 3237,West,12:23 PM
1737,18,96.5,1268.01,468.99,02-Dec-23,December,Customer 882,North,11:47 AM
23.42,2,11.71,19.2044,4.2156,17-Feb-23,February,Customer 1232,North,3:26 PM
280.5,3,93.5,182.325,98.175,26-Jan-24,January,Customer 2613,Central,12:29 PM
36.17,1,36.17,30.3828,5.7872,22-Sep-24,September,Customer 32,Central,9:52 AM
756.18,9,84.02,529.326,226.854,07-May-24,May,Customer 1228,East,9:39 AM
82.36,4,20.59,48.5924,33.7676,28-Mar-23,March,Customer 2190,North,10:26 AM
251.32,4,62.83,160.8448,90.4752,12-Aug-23,August,Customer 2042,South,8:45 PM
680.04,18,37.78,353.6208,326.4192,20-Nov-24,November,Customer 3122,East,8:44 PM
1161.16,13,89.32,894.0932,267.0668,18-Oct-24,October,Customer 1256,West,4:12 PM
513.54,6,85.59,405.6966,107.8434,28-Feb-23,February,Customer 1041,East,6:24 PM
549.48,19,28.92,296.7192,252.7608,20-Oct-24,October,Customer 4508,South,8:26 PM
1354.24,16,84.64,758.3744,595.8656,27-Apr-24,April,Customer 2582,West,6:12 PM
863.83,11,78.53,742.8938,120.9362,07-Oct-23,October,Customer 2733,East,8:23 PM
584.97,17,34.41,292.485,292.485,19-Oct-24,October,Customer 2566,East,6:01 PM
95.28,1,95.28,81.9408,13.3392,19-Apr-23,April,Customer 2134,East,12:49 PM
355.88,14,25.42,202.8516,153.0284,10-Feb-23,February,Customer 4654,Central,9:05 AM
1327.72,19,69.88,916.1268,411.5932,07-Sep-24,September,Customer 3342,West,1:06 PM
646.96,8,80.87,336.4192,310.5408,04-Apr-24,April,Customer 2945,South,8:45 PM
734.58,11,66.78,389.3274,345.2526,02-Dec-24,December,Customer 4042,South,10:04 AM
186.12,2,93.06,120.978,65.142,13-Oct-23,October,Customer 4465,West,3:51 PM
132.76,2,66.38,95.5872,37.1728,28-Apr-24,April,Customer 2403,West,10:02 AM
299.1,10,29.91,191.424,107.676,19-Apr-24,April,Customer 1403,South,2:32 PM
936.19,17,55.07,542.9902,393.1998,20-Oct-24,October,Customer 4487,South,8:43 PM
1160,16,72.5,846.8,313.2,07-Sep-23,September,Customer 1287,East,1:27 PM
1544.04,18,85.78,1188.9108,355.1292,05-Mar-23,March,Customer 4377,West,3:20 PM
1383.84,18,76.88,1203.9408,179.8992,27-Apr-24,April,Customer 939,West,9:31 PM
515.62,14,36.83,299.0596,216.5604,14-Dec-24,December,Customer 86,South,1:07 PM
555.31,7,79.33,416.4825,138.8275,21-Nov-23,November,Customer 86,Central,6:01 PM
387.15,15,25.81,240.033,147.117,10-Oct-24,October,Customer 437,West,6:06 PM
190.8,2,95.4,141.192,49.608,16-Jul-24,July,Customer 1281,North,11:48 AM
256.14,3,85.38,143.4384,112.7016,15-Feb-24,February,Customer 1826,Central,12:49 PM
71.12,7,10.16,42.672,28.448,18-Sep-24,September,Customer 4579,North,4:15 PM
69.84,1,69.84,34.92,34.92,28-Jan-23,January,Customer 2878,South,12:08 PM
446.27,11,40.57,357.016,89.254,04-Sep-23,September,Customer 114,East,8:50 PM
224.21,7,32.03,201.789,22.421,12-Jun-23,June,Customer 219,South,8:28 PM
912.12,12,76.01,510.7872,401.3328,24-Jan-24,January,Customer 3144,East,11:21 AM
1549.98,18,86.11,1115.9856,433.9944,06-Mar-24,March,Customer 680,North,7:57 PM
427.08,12,35.59,345.9348,81.1452,25-Apr-23,April,Customer 4667,East,1:02 PM
926.24,14,66.16,509.432,416.808,13-Apr-23,April,Customer 1401,South,9:07 PM
560.66,17,32.98,493.3808,67.2792,19-Jul-23,July,Customer 2417,North,8:09 PM
1784.1,19,93.9,1177.506,606.594,24-Feb-23,February,Customer 732,Central,11:55 AM
164.16,2,82.08,106.704,57.456,18-Feb-24,February,Customer 2460,North,9:22 AM
413.77,7,59.11,264.8128,148.9572,16-Nov-24,November,Customer 3310,North,10:09 AM
248.8,4,62.2,184.112,64.688,24-Jun-23,June,Customer 3008,North,1:28 PM
401.05,5,80.21,304.798,96.252,13-Aug-23,August,Customer 607,East,1:34 PM
672.88,13,51.76,396.9992,275.8808,21-Sep-24,September,Customer 2036,West,10:45 AM
77.82,1,77.82,45.9138,31.9062,30-Nov-23,November,Customer 4947,Central,8:15 PM
66.08,4,16.52,59.472,6.608,04-Sep-24,September,Customer 939,West,5:07 PM
730.15,17,42.95,372.3765,357.7735,24-Oct-24,October,Customer 4276,Central,12:31 PM
54.21,3,18.07,35.2365,18.9735,17-Feb-23,February,Customer 3838,East,8:57 PM
188.16,8,23.52,118.5408,69.6192,16-Oct-24,October,Customer 3999,West,6:25 PM
80.28,1,80.28,44.154,36.126,07-Feb-24,February,Customer 4711,North,11:47 AM
195.94,2,97.97,141.0768,54.8632,12-Mar-23,March,Customer 426,Central,3:49 PM
278.4,4,69.6,139.2,139.2,25-Mar-23,March,Customer 40,North,11:21 AM
559.6,20,27.98,369.336,190.264,05-Feb-24,February,Customer 960,South,7:37 PM
83.22,3,27.74,51.5964,31.6236,16-Oct-24,October,Customer 1165,West,6:06 PM
696.87,9,77.43,445.9968,250.8732,05-Aug-23,August,Customer 539,Central,4:33 PM
1208.64,16,75.54,954.8256,253.8144,06-Mar-24,March,Customer 2289,East,3:12 PM
1184.65,19,62.35,710.79,473.86,19-Aug-24,August,Customer 1540,South,9:05 PM
937.65,19,49.35,515.7075,421.9425,30-Jan-24,January,Customer 3765,West,3:32 PM
1136.2,20,56.81,931.684,204.516,18-May-23,May,Customer 2271,North,9:05 PM
189.93,3,63.31,108.2601,81.6699,02-Nov-23,November,Customer 1479,East,8:52 PM
173.44,2,86.72,150.8928,22.5472,27-Apr-24,April,Customer 1992,Central,10:41 AM
15.03,1,15.03,9.4689,5.5611,01-Dec-23,December,Customer 3976,South,8:51 PM
50.37,1,50.37,45.333,5.037,03-Dec-23,December,Customer 4379,South,9:28 PM
956,16,59.75,611.84,344.16,13-Sep-23,September,Customer 1071,South,9:46 PM
334.92,12,27.91,231.0948,103.8252,13-Jul-23,July,Customer 4907,North,10:36 AM
435.05,5,87.01,243.628,191.422,19-Jul-24,July,Customer 3432,North,9:19 AM
134.34,2,67.17,80.604,53.736,14-Dec-23,December,Customer 4218,West,9:07 AM
934.45,11,84.95,495.2585,439.1915,30-Oct-24,October,Customer 3007,East,10:02 AM
290.64,7,41.52,217.98,72.66,10-Mar-23,March,Customer 2824,East,9:09 AM
308.23,13,23.71,203.4318,104.7982,23-Oct-23,October,Customer 2226,North,1:38 PM
174.66,3,58.22,136.2348,38.4252,26-Aug-24,August,Customer 2784,Central,1:04 PM
314.16,14,22.44,263.8944,50.2656,05-Oct-24,October,Customer 2915,Central,10:23 AM
596.31,11,54.21,363.7491,232.5609,16-Jul-24,July,Customer 1781,East,12:34 PM
411.96,6,68.66,346.0464,65.9136,22-Oct-23,October,Customer 613,North,5:31 PM
68.08,2,34.04,54.464,13.616,02-Jul-24,July,Customer 4002,West,4:38 PM
368.72,11,33.52,265.4784,103.2416,15-Mar-24,March,Customer 2173,South,10:32 AM
79.98,3,26.66,48.7878,31.1922,30-Apr-23,April,Customer 2556,Central,9:06 PM
192.27,17,11.31,132.6663,59.6037,27-Apr-24,April,Customer 755,East,10:46 AM
1825.6,20,91.28,1533.504,292.096,16-May-23,May,Customer 1101,East,10:29 AM
124.7,10,12.47,105.995,18.705,11-Apr-23,April,Customer 1705,Central,7:14 PM
126.54,9,14.06,102.4974,24.0426,28-Jul-24,July,Customer 960,Central,10:35 AM
256.96,4,64.24,197.8592,59.1008,06-Dec-23,December,Customer 1413,Central,7:47 PM
719.46,18,39.97,374.1192,345.3408,09-Nov-24,November,Customer 3780,Central,9:01 PM
788.12,17,46.36,614.7336,173.3864,19-Jul-23,July,Customer 4635,South,12:24 PM
1074.5,14,76.75,924.07,150.43,17-Aug-23,August,Customer 2697,North,10:58 AM
284.7,3,94.9,173.667,111.033,23-Aug-24,August,Customer 797,South,1:20 PM
449.6,8,56.2,355.184,94.416,01-Jun-24,June,Customer 4672,Central,8:18 PM
492.66,9,54.74,266.0364,226.6236,22-Dec-23,December,Customer 1120,East,11:43 AM
1145.12,17,67.36,778.6816,366.4384,18-Jan-24,January,Customer 4722,East,4:17 PM
95.27,1,95.27,80.0268,15.2432,24-Jan-24,January,Customer 3601,West,11:55 AM
1086.8,11,98.8,858.572,228.228,19-Nov-24,November,Customer 4036,East,12:52 PM
338.32,4,84.58,284.1888,54.1312,15-Aug-23,August,Customer 757,East,2:26 PM
533.6,16,33.35,320.16,213.44,08-Jul-24,July,Customer 656,North,2:06 PM
907.01,13,69.77,680.2575,226.7525,09-Feb-23,February,Customer 4707,South,11:52 AM
200.34,7,28.62,138.2346,62.1054,18-May-24,May,Customer 1830,Central,9:58 AM
850.9,10,85.09,646.684,204.216,10-Mar-24,March,Customer 2589,East,3:16 PM
142.11,3,47.37,127.899,14.211,12-Nov-24,November,Customer 3074,South,9:00 AM
378.44,4,94.61,230.8484,147.5916,25-Apr-23,April,Customer 3820,South,9:31 AM
482.86,14,34.49,357.3164,125.5436,23-Jan-24,January,Customer 1457,East,7:31 PM
87.04,1,87.04,44.3904,42.6496,25-May-24,May,Customer 3881,West,7:28 PM
243.54,3,81.18,168.0426,75.4974,04-Feb-23,February,Customer 2785,East,1:48 PM
1344.32,16,84.02,846.9216,497.3984,06-Jul-23,July,Customer 4006,South,8:26 PM
158.91,3,52.97,139.8408,19.0692,29-Aug-24,August,Customer 2388,Central,1:36 PM
267.2,4,66.8,229.792,37.408,05-Aug-24,August,Customer 1283,East,9:59 AM
1000.2,15,66.68,900.18,100.02,12-Jun-23,June,Customer 1967,Central,7:45 PM
103.48,4,25.87,67.262,36.218,04-Oct-24,October,Customer 2855,North,3:43 PM
487.95,15,32.53,356.2035,131.7465,16-Jan-24,January,Customer 1964,North,2:43 PM
1687.14,18,93.73,1383.4548,303.6852,24-Nov-23,November,Customer 2600,East,9:49 AM
754.6,14,53.9,490.49,264.11,04-Apr-23,April,Customer 4066,North,1:49 PM
768.88,14,54.92,530.5272,238.3528,15-Sep-24,September,Customer 2252,North,1:55 PM
229.75,5,45.95,158.5275,71.2225,12-Jan-23,January,Customer 1732,North,10:45 AM
343.15,5,68.63,199.027,144.123,16-May-23,May,Customer 22,Central,1:07 PM
125.76,4,31.44,80.4864,45.2736,11-Nov-24,November,Customer 1390,Central,1:34 PM
322.3,11,29.3,280.401,41.899,03-Feb-24,February,Customer 4309,South,5:05 PM
251.44,14,17.96,158.4072,93.0328,23-Oct-24,October,Customer 3535,East,3:51 PM
227.16,6,37.86,172.6416,54.5184,26-Jun-23,June,Customer 595,Central,5:11 PM
1991.2,20,99.56,1373.928,617.272,05-May-24,May,Customer 2981,South,2:23 PM
441.35,7,63.05,379.561,61.789,25-Mar-24,March,Customer 4475,South,6:28 PM
948.3,10,94.83,777.606,170.694,17-May-24,May,Customer 4219,North,1:35 PM
154.7,14,11.05,129.948,24.752,07-Oct-24,October,Customer 4477,Central,2:33 PM
168.66,3,56.22,84.33,84.33,23-Jun-23,June,Customer 673,South,12:32 PM
755.12,8,94.39,566.34,188.78,06-Apr-24,April,Customer 766,Central,1:55 PM
166.39,7,23.77,139.7676,26.6224,13-May-23,May,Customer 2019,Central,8:13 PM
1534,20,76.7,1319.24,214.76,03-Aug-23,August,Customer 3765,Central,12:04 PM
95.31,1,95.31,73.3887,21.9213,20-May-24,May,Customer 427,Central,2:13 PM
179.63,11,16.33,122.1484,57.4816,09-Nov-23,November,Customer 1074,South,2:01 PM
102.9,2,51.45,52.479,50.421,06-Mar-24,March,Customer 1629,South,9:17 AM
567.15,15,37.81,402.6765,164.4735,09-Feb-23,February,Customer 940,West,11:31 AM
138.7,5,27.74,104.025,34.675,03-Mar-23,March,Customer 1247,South,5:28 PM
844.74,18,46.93,506.844,337.896,14-Apr-24,April,Customer 2110,North,10:55 AM
1361.34,18,75.63,694.2834,667.0566,31-Jan-24,January,Customer 3844,South,6:48 PM
1346,20,67.3,982.58,363.42,23-Aug-24,August,Customer 1805,East,10:44 AM
378.8,10,37.88,231.068,147.732,03-Aug-24,August,Customer 1060,West,10:34 AM
128.28,6,21.38,69.2712,59.0088,27-Aug-23,August,Customer 4433,South,11:03 AM
189.85,5,37.97,132.895,56.955,10-Feb-23,February,Customer 414,North,11:34 AM
1009.25,11,91.75,756.9375,252.3125,23-Apr-23,April,Customer 1243,South,11:05 AM
409.68,8,51.21,327.744,81.936,24-Jul-24,July,Customer 942,East,4:07 PM
884.68,17,52.04,548.5016,336.1784,26-Dec-24,December,Customer 1435,South,8:43 PM
324.96,16,20.31,188.4768,136.4832,16-Aug-24,August,Customer 1588,East,10:05 AM
101.12,8,12.64,50.56,50.56,28-Aug-24,August,Customer 1198,Central,11:14 AM
849.15,9,94.35,670.8285,178.3215,30-Oct-24,October,Customer 2778,West,9:28 PM
652.48,16,40.78,580.7072,71.7728,08-May-24,May,Customer 3938,West,5:46 PM
838.8,20,41.94,461.34,377.46,04-Mar-23,March,Customer 1563,Central,8:15 PM
179.53,13,13.81,143.624,35.906,27-Sep-24,September,Customer 3893,North,8:07 PM
84.63,3,28.21,46.5465,38.0835,30-Apr-23,April,Customer 3010,North,1:29 PM
268.2,12,22.35,174.33,93.87,27-Dec-23,December,Customer 208,South,12:45 PM
825.37,13,63.49,445.6998,379.6702,07-Jul-24,July,Customer 121,North,2:33 PM
236.72,11,21.52,198.8448,37.8752,29-Dec-23,December,Customer 2700,North,7:30 PM
1644,20,82.2,1216.56,427.44,08-Sep-24,September,Customer 4634,North,9:34 AM
228.78,6,38.13,157.8582,70.9218,16-Feb-24,February,Customer 3975,South,5:36 PM
60.57,1,60.57,46.0332,14.5368,26-Aug-24,August,Customer 2392,Central,7:07 PM
211.86,9,23.54,152.5392,59.3208,22-Jun-24,June,Customer 4501,Central,8:21 PM
449.25,15,29.95,404.325,44.925,21-Oct-23,October,Customer 4177,South,5:09 PM
1210.3,14,86.45,823.004,387.296,26-Jan-23,January,Customer 1863,East,3:22 PM
1259.31,13,96.87,982.2618,277.0482,16-Oct-23,October,Customer 2327,North,8:59 PM
61.68,4,15.42,41.9424,19.7376,12-Jun-23,June,Customer 1940,Central,11:26 AM
929.86,19,48.94,585.8118,344.0482,11-May-24,May,Customer 746,West,9:45 PM
928.62,14,66.33,770.7546,157.8654,04-Jul-24,July,Customer 2684,East,9:56 PM
23,2,11.5,15.87,7.13,17-Nov-24,November,Customer 441,West,1:57 PM
545.04,12,45.42,332.4744,212.5656,03-May-23,May,Customer 2093,East,3:54 PM
1010.7,15,67.38,707.49,303.21,30-Jul-23,July,Customer 3272,Central,3:02 PM
125.01,3,41.67,72.5058,52.5042,05-Feb-23,February,Customer 502,West,9:15 PM
249.6,8,31.2,137.28,112.32,06-Aug-23,August,Customer 2372,Central,1:06 PM
96.3,2,48.15,54.891,41.409,11-Oct-23,October,Customer 853,North,6:09 PM
1849.6,20,92.48,1220.736,628.864,24-Aug-23,August,Customer 620,North,5:51 PM
322.41,11,29.31,209.5665,112.8435,07-Jan-24,January,Customer 2844,South,7:07 PM
74.87,1,74.87,44.1733,30.6967,25-Dec-24,December,Customer 3006,East,3:05 PM
921.24,18,51.18,543.5316,377.7084,15-Dec-23,December,Customer 2480,Central,6:45 PM
881.28,9,97.92,458.2656,423.0144,30-Oct-24,October,Customer 2219,North,2:31 PM
202.65,15,13.51,151.9875,50.6625,26-Jul-24,July,Customer 4075,East,10:56 AM
351.36,9,39.04,200.2752,151.0848,23-Jul-24,July,Customer 2739,North,4:48 PM
21.26,2,10.63,11.693,9.567,12-Aug-23,August,Customer 4272,North,1:18 PM
814.86,9,90.54,602.9964,211.8636,23-Mar-23,March,Customer 1787,West,2:50 PM
40.76,4,10.19,21.6028,19.1572,01-May-24,May,Customer 3505,West,10:07 AM
403.36,8,50.42,274.2848,129.0752,11-Sep-23,September,Customer 2681,West,4:21 PM
162.8,10,16.28,91.168,71.632,04-Apr-24,April,Customer 1995,Central,6:03 PM
1365,15,91,1010.1,354.9,11-Jul-23,July,Customer 1168,East,12:56 PM
692.55,9,76.95,595.593,96.957,11-Jun-24,June,Customer 2551,Central,8:30 PM
371.52,12,30.96,260.064,111.456,15-Jan-24,January,Customer 4756,West,7:01 PM
502.38,9,55.82,401.904,100.476,14-Dec-24,December,Customer 2877,Central,5:28 PM
217.3,10,21.73,184.705,32.595,23-Mar-23,March,Customer 4798,East,4:48 PM
1563.68,16,97.73,1172.76,390.92,21-Dec-24,December,Customer 1099,South,9:05 PM
612.8,20,30.64,404.448,208.352,09-Jul-23,July,Customer 2465,South,9:24 PM
990.6,10,99.06,653.796,336.804,19-Nov-24,November,Customer 588,Central,7:11 PM
1594.24,16,99.64,1163.7952,430.4448,15-Dec-24,December,Customer 4263,South,11:21 AM
358.83,9,39.87,322.947,35.883,10-Nov-24,November,Customer 3820,Central,9:57 PM
154.44,11,14.04,118.9188,35.5212,28-Jan-23,January,Customer 2078,North,3:56 PM
408.24,12,34.02,367.416,40.824,20-Aug-24,August,Customer 812,North,7:03 PM
531.12,8,66.39,313.3608,217.7592,19-Jan-23,January,Customer 602,East,8:32 PM
1142.85,15,76.19,902.8515,239.9985,09-Apr-24,April,Customer 474,East,12:32 PM
97.33,1,97.33,62.2912,35.0388,01-Jan-24,January,Customer 1867,North,12:27 PM
113.64,2,56.82,84.0936,29.5464,20-May-24,May,Customer 2835,Central,10:24 AM
283.4,13,21.8,192.712,90.688,03-Dec-24,December,Customer 2988,West,6:00 PM
79.2,4,19.8,64.152,15.048,02-Nov-24,November,Customer 6,West,2:05 PM
1494.64,17,87.92,911.7304,582.9096,28-May-24,May,Customer 4184,East,6:59 PM
1090.98,11,99.18,752.7762,338.2038,03-Dec-23,December,Customer 1723,East,9:36 PM
527.9,10,52.79,427.599,100.301,18-Jul-23,July,Customer 1819,South,12:54 PM
752.76,9,83.64,414.018,338.742,08-Jul-23,July,Customer 789,South,12:59 PM
279.32,4,69.83,237.422,41.898,03-Apr-23,April,Customer 1134,West,6:45 PM
993.51,19,52.29,894.159,99.351,06-Feb-23,February,Customer 616,West,1:35 PM
537.71,17,31.63,483.939,53.771,08-May-23,May,Customer 2431,Central,10:16 AM
1641.6,20,82.08,1395.36,246.24,06-Feb-24,February,Customer 2831,North,10:28 AM
1285.06,14,91.79,809.5878,475.4722,03-Sep-24,September,Customer 382,East,5:46 PM
313.5,10,31.35,213.18,100.32,25-Jan-23,January,Customer 1811,North,4:56 PM
299.9,5,59.98,164.945,134.955,30-Jan-24,January,Customer 1371,South,1:57 PM
89.1,6,14.85,44.55,44.55,10-Aug-24,August,Customer 4542,West,10:29 AM
1140.86,14,81.49,958.3224,182.5376,15-Sep-23,September,Customer 2779,South,1:25 PM
813.28,13,62.56,569.296,243.984,10-Apr-24,April,Customer 4792,East,8:39 PM
1014.22,19,53.38,821.5182,192.7018,10-Jun-24,June,Customer 4868,West,10:28 AM
350.1,5,70.02,287.082,63.018,28-Feb-24,February,Customer 2522,South,12:24 PM
937.44,18,52.08,843.696,93.744,07-Apr-23,April,Customer 3664,North,12:30 PM
819,20,40.95,417.69,401.31,11-Feb-23,February,Customer 2763,West,4:40 PM
731.28,8,91.41,365.64,365.64,12-Jun-23,June,Customer 4525,South,8:37 PM
146.8,8,18.35,123.312,23.488,11-Aug-24,August,Customer 3271,North,2:01 PM
127.65,3,42.55,65.1015,62.5485,28-Sep-23,September,Customer 2695,East,5:50 PM
1231,20,61.55,874.01,356.99,18-Aug-24,August,Customer 408,East,9:24 AM
602.37,9,66.93,343.3509,259.0191,21-Jul-23,July,Customer 2075,South,3:53 PM
195.7,10,19.57,111.549,84.151,23-Oct-24,October,Customer 2889,North,9:02 PM
1134.6,20,56.73,737.49,397.11,29-Aug-24,August,Customer 2984,North,9:08 PM
494.1,5,98.82,296.46,197.64,29-Apr-24,April,Customer 3130,South,1:39 PM
146.08,8,18.26,124.168,21.912,14-Apr-23,April,Customer 739,East,2:34 PM
298.4,8,37.3,238.72,59.68,11-Feb-24,February,Customer 466,North,9:47 AM
85.7,2,42.85,53.134,32.566,03-Oct-23,October,Customer 3394,South,4:00 PM
592.8,13,45.6,515.736,77.064,08-Mar-23,March,Customer 2779,East,1:46 PM
28.24,1,28.24,21.7448,6.4952,12-Feb-23,February,Customer 4325,North,10:22 AM
59.73,1,59.73,38.2272,21.5028,20-Aug-23,August,Customer 4636,East,2:30 PM
47.4,2,23.7,27.018,20.382,18-Apr-23,April,Customer 4290,Central,7:44 PM
1028.1,15,68.54,771.075,257.025,21-Jan-23,January,Customer 1827,West,10:06 AM
383.16,4,95.79,218.4012,164.7588,18-Sep-24,September,Customer 3516,South,4:18 PM
243.16,4,60.79,121.58,121.58,21-Nov-24,November,Customer 121,Central,3:46 PM
138.02,2,69.01,113.1764,24.8436,04-Sep-24,September,Customer 2857,West,3:16 PM
187.04,4,46.76,114.0944,72.9456,29-Mar-24,March,Customer 3252,Central,12:14 PM
174.07,13,13.39,118.3676,55.7024,13-Oct-23,October,Customer 289,South,1:10 PM
74.48,4,18.62,63.308,11.172,01-Apr-24,April,Customer 4933,West,5:46 PM
468.45,9,52.05,290.439,178.011,13-May-24,May,Customer 2547,East,5:22 PM
285.3,6,47.55,236.799,48.501,15-Jun-23,June,Customer 1598,North,4:05 PM
771.4,14,55.1,424.27,347.13,08-Sep-24,September,Customer 4474,West,5:24 PM
698.6,14,49.9,356.286,342.314,17-Mar-23,March,Customer 771,West,8:14 PM
415.15,19,21.85,244.9385,170.2115,08-Jul-24,July,Customer 2850,East,11:42 AM
300.86,7,42.98,174.4988,126.3612,23-Oct-24,October,Customer 629,South,10:33 AM
1062.75,13,81.75,563.2575,499.4925,30-Sep-23,September,Customer 1838,North,6:09 PM
917.4,20,45.87,550.44,366.96,06-May-24,May,Customer 2742,West,10:10 AM
291.6,10,29.16,148.716,142.884,05-Nov-23,November,Customer 203,West,2:34 PM
123,5,24.6,97.17,25.83,24-May-24,May,Customer 4320,West,6:44 PM
490.32,9,54.48,323.6112,166.7088,05-Oct-24,October,Customer 2592,North,12:17 PM
1117.76,16,69.86,849.4976,268.2624,19-Jul-23,July,Customer 1397,West,7:00 PM
1231.38,18,68.41,911.2212,320.1588,04-May-23,May,Customer 2016,Central,3:13 PM
883.66,17,51.98,539.0326,344.6274,02-Oct-23,October,Customer 1195,Central,1:44 PM
762.6,12,63.55,419.43,343.17,31-May-23,May,Customer 392,North,5:32 PM
526.56,6,87.76,463.3728,63.1872,05-Nov-23,November,Customer 3202,Central,12:02 PM
716.4,8,89.55,401.184,315.216,27-Dec-24,December,Customer 1772,South,9:04 AM
266.88,16,16.68,165.4656,101.4144,23-Oct-24,October,Customer 1508,South,11:21 AM
665.36,8,83.17,492.3664,172.9936,13-May-24,May,Customer 1882,East,11:35 AM
1009.84,13,77.68,767.4784,242.3616,19-Nov-23,November,Customer 3547,North,3:18 PM
237.45,3,79.15,192.3345,45.1155,06-Jun-23,June,Customer 4949,North,10:16 AM
1078,11,98,754.6,323.4,11-Nov-24,November,Customer 2639,East,9:39 PM
850.6,10,85.06,680.48,170.12,29-May-23,May,Customer 914,West,7:18 PM
288,18,16,239.04,48.96,18-Aug-24,August,Customer 2495,Central,4:54 PM
380.8,8,47.6,323.68,57.12,23-Feb-24,February,Customer 3705,West,12:47 PM
1285.02,18,71.39,1079.4168,205.6032,18-Jul-23,July,Customer 3333,Central,9:35 AM
63.06,6,10.51,42.2502,20.8098,18-Sep-23,September,Customer 4465,Central,5:49 PM
